Fecha,PORVL14N1
2018-01-12,1.3504347826086955
2018-01-13,1.1674999999999998
2018-01-14,0.7866666666666667
2018-01-15,0.6920000000000001
2018-01-16,0.9008333333333333
2018-01-17,0.9916666666666666
2018-01-18,0.6695833333333335
2018-01-19,0.6695833333333333
2018-01-20,0.9229166666666666
2018-01-21,1.0708333333333335
2018-01-22,1.17
2018-01-23,1.1850000000000003
2018-01-24,1.1925000000000001
2018-01-25,1.2274999999999996
2018-01-26,1.272083333333333
2018-01-27,1.3104166666666666
2018-01-28,1.3475000000000001
2018-01-29,1.3829166666666663
2018-01-30,1.4158333333333335
2018-01-31,1.4483333333333333
2018-02-01,1.48125
2018-02-02,1.5087500000000003
2018-02-03,1.535833333333333
2018-02-04,1.5641666666666667
2018-02-05,1.5879166666666669
2018-02-06,1.6120833333333326
2018-02-07,1.6366666666666665
2018-02-08,1.6583333333333339
2018-02-09,1.6799999999999997
2018-02-10,1.694583333333334
2018-02-11,1.7000000000000002
2018-02-12,1.7000000000000002
2018-02-13,1.7000000000000002
2018-02-14,1.7000000000000002
2018-02-15,1.7000000000000002
2018-02-16,1.7000000000000002
2018-02-17,1.7000000000000002
2018-02-18,1.7000000000000002
2018-02-19,1.7000000000000002
2018-02-20,1.7000000000000002
2018-02-21,1.7000000000000002
2018-02-22,1.7000000000000002
2018-02-23,1.7000000000000002
2018-02-24,1.7000000000000002
2018-02-25,1.7000000000000002
2018-02-26,1.7000000000000002
2018-02-27,1.7000000000000002
2018-02-28,1.7000000000000002
2018-03-01,1.7000000000000002
2018-03-02,1.7000000000000002
2018-03-03,1.7000000000000002
2018-03-04,1.7000000000000002
2018-03-05,1.7000000000000002
2018-03-06,1.7000000000000002
2018-03-07,1.7000000000000002
2018-03-08,1.7000000000000002
2018-03-09,1.7000000000000002
2018-03-10,1.7000000000000002
2018-03-11,1.7000000000000002
2018-03-12,1.7000000000000002
2018-03-13,1.7000000000000002
2018-03-14,1.7000000000000002
2018-03-15,1.7000000000000002
2018-03-16,1.7000000000000002
2018-03-17,1.7000000000000002
2018-03-18,1.7000000000000002
2018-03-19,1.7000000000000002
2018-03-20,1.7000000000000002
2018-03-21,1.7000000000000002
2018-03-22,1.7000000000000002
2018-03-23,1.7000000000000002
2018-03-24,1.7000000000000002
2018-03-25,1.7000000000000002
2018-03-26,1.7000000000000002
2018-03-27,1.7000000000000002
2018-03-28,1.7000000000000002
2018-03-29,1.7000000000000002
2018-03-30,1.7000000000000002
2018-03-31,1.7000000000000002
2018-04-01,1.7000000000000002
2018-04-02,1.7000000000000002
2018-04-03,1.6999999999999995
2018-04-04,
2018-04-05,1.497
2018-04-06,1.4941666666666666
2018-04-07,1.4941666666666666
2018-04-08,1.4899999999999995
2018-04-09,1.4899999999999995
2018-04-10,1.542083333333333
2018-04-11,1.7000000000000002
2018-04-12,1.7000000000000002
2018-04-13,1.7
2018-04-14,1.7000000000000002
2018-04-15,1.7000000000000002
2018-04-16,1.6970833333333337
2018-04-17,1.7000000000000002
2018-04-18,1.7000000000000002
2018-04-19,1.7000000000000002
2018-04-20,1.7000000000000002
2018-04-21,1.7000000000000002
2018-04-22,1.7000000000000002
2018-04-23,1.7000000000000002
2018-04-24,1.7000000000000002
2018-04-25,1.7000000000000002
2018-04-26,1.6624999999999996
2018-04-27,1.1662500000000002
2018-04-28,1.2824999999999998
2018-04-29,1.3766666666666667
2018-04-30,1.3466666666666667
2018-05-01,0.8500000000000001
2018-05-02,0.9741666666666666
2018-05-03,0.6768000000000001
2018-05-04,0.8362500000000002
2018-05-05,0.9829166666666665
2018-05-06,1.0120833333333332
2018-05-07,0.7245833333333334
2018-05-08,0.6833333333333335
2018-05-09,0.8716666666666669
2018-05-10,0.9533333333333335
2018-05-11,0.7404166666666668
2018-05-12,0.9004166666666665
2018-05-13,1.0537500000000002
2018-05-14,1.1287500000000004
2018-05-15,1.1716666666666669
2018-05-16,1.2212500000000002
2018-05-17,1.2554166666666668
2018-05-18,1.2137499999999999
2018-05-19,0.9579166666666669
2018-05-20,0.7779166666666667
2018-05-21,0.9829166666666667
2018-05-22,1.0999999999999999
2018-05-23,1.123333333333333
2018-05-24,1.04375
2018-05-25,1.1237499999999998
2018-05-26,1.164583333333333
2018-05-27,1.1562500000000002
2018-05-28,1.2154166666666668
2018-05-29,1.2616666666666667
2018-05-30,1.3087499999999999
2018-05-31,1.2841666666666665
2018-06-01,1.31
2018-06-02,1.2779166666666664
2018-06-03,1.3404166666666668
2018-06-04,1.3937499999999992
2018-06-05,1.4208333333333334
2018-06-06,1.4356
2018-06-07,1.41375
2018-06-08,1.2354166666666668
2018-06-09,1.2429166666666667
2018-06-10,1.2483333333333337
2018-06-11,1.0491666666666668
2018-06-12,0.8054166666666668
2018-06-13,1.0495833333333333
2018-06-14,0.9774999999999999
2018-06-15,0.7133333333333333
2018-06-16,0.9437500000000002
2018-06-17,1.0758333333333334
2018-06-18,1.0641666666666667
2018-06-19,0.7041666666666666
2018-06-20,0.7999999999999999
2018-06-21,0.6941666666666665
2018-06-22,0.9137500000000002
2018-06-23,1.0583333333333338
2018-06-24,1.1287499999999997
2018-06-25,1.062916666666667
2018-06-26,1.1283333333333332
2018-06-27,1.1141666666666667
2018-06-28,1.12
2018-06-29,0.7949999999999999
2018-06-30,0.7170833333333334
2018-07-01,0.8983333333333333
2018-07-02,1.0459999999999998
2018-07-03,1.132083333333333
2018-07-04,1.1974999999999998
2018-07-05,1.1820833333333336
2018-07-06,1.0320833333333332
2018-07-07,1.1295833333333334
2018-07-08,1.2041666666666664
2018-07-09,1.2558333333333338
2018-07-10,0.7004166666666669
2018-07-11,0.6791666666666668
2018-07-12,0.9620833333333335
2018-07-13,1.0925
2018-07-14,1.1416666666666666
2018-07-15,1.1654166666666665
2018-07-16,1.02125
2018-07-17,1.1266666666666667
2018-07-18,1.1979166666666667
2018-07-19,1.2420833333333334
2018-07-20,1.26625
2018-07-21,1.2955555555555553
2018-07-22,1.3012500000000002
2018-07-23,1.3314285714285714
2018-07-24,1.3999999999999997
2018-07-25,1.4075
2018-07-26,1.4229166666666668
2018-07-27,1.4304166666666667
2018-07-28,1.4354166666666668
2018-07-29,1.33625
2018-07-30,1.184583333333333
2018-07-31,0.8737500000000001
2018-08-01,0.8795833333333335
2018-08-02,0.7191666666666666
2018-08-03,0.894705882352941
