Serial,Lat,Lng,Nivel,Isohipsa,ASNM
PORVL2N1,7.76985,-76.76544,1.7,4.21,5.91
PORVL2N2,7.76898,-76.76262,1.44,4.3376,5.7776
PORVL4N1,7.76701763,-76.7623966,1.64,4.98,6.62
PORVL5N1,7.76709,-76.76572,1.7,4.3,6
PORVL6N1,7.76483,-76.76161,1.68,6.7695,8.4495
PORVL7N1,7.76461,-76.76428,1.7,5.88,7.58
PORVL8N1,7.76469,-76.76673,1.68,5.59,7.27
PORVL9N1,7.76221,-76.76276,1.7,6.49,8.19
PORVL10N1,7.76224,-76.76574,1.7,5.69,7.39
PORVL13N1,7.75962,-76.766,1.7,6.21,7.91
PORVL14N1,7.75809,-76.76397,1.7,7.56,9.26
PORVL15N1,7.7577,-76.76619,1.64,6.7,8.34
PORVL16N1,7.75745,-76.76183,1.7,7.41,9.11
PORVL16N2,7.7575,-76.7593,1.57,8.21,9.78
PORVL18N1,7.75959,-76.76121,1.7,7.28,8.98
PORVL18N2,7.75954,-76.75801,1.7,7.57,9.27
PORVL18N3,7.75979,-76.7543,1.7,7.63,9.33
PORVL18N4,7.75985,-76.75096,1.7,8.01,9.71
PORVL21N1,7.7619,-76.75956,1.68,6.87,8.55
PORVL21N2,7.76199,-76.75677,1.5,7.39,8.89
PORVL21N3,7.76204,-76.75402,1.7,7.84,9.54
PORVL21N4,7.76221,-76.75155,1.7,7.62,9.32
PORVL21N5,7.76221,-76.749,1.7,7.98,9.68
PORVL24N1,7.76424,-76.7529,1.49,7.6,9.09
PORVL24N2,7.76438,-76.75009,1.7,7.64,9.34